iter	RMSE
0	0.3924904489
1	0.3912544279
2	0.3899612059
3	0.3887404546
4	0.3875410757
5	0.3863082052
6	0.3851280014
7	0.3839726985
8	0.3828272614
9	0.3816841961
10	0.3804360672
11	0.3791792862
12	0.3779267181
13	0.3767394253
14	0.375550809
15	0.3743170236
16	0.3731223886
17	0.3720416332
18	0.3708744642
19	0.3696361207
20	0.3685266544
21	0.3673608454
22	0.366307974
23	0.3651939068
24	0.3640738822
25	0.3629176987
26	0.3617715714
27	0.3606083198
28	0.3594943054
29	0.3584091611
30	0.3574302655
31	0.3563139402
32	0.3552056029
33	0.354166848
34	0.3531268904
35	0.3520255202
36	0.3509181227
37	0.349890877
38	0.3488486609
39	0.3478316149
40	0.3467596789
41	0.3458003382
42	0.3447837301
43	0.3437384429
44	0.3426812903
45	0.3417368184
46	0.3407637368
47	0.3397633885
48	0.3387209444
49	0.3377424053
50	0.3367931772
51	0.3358448416
52	0.3349733607
53	0.3339628867
54	0.3330218884
55	0.3321111639
56	0.3310937678
57	0.3300952251
58	0.3292415841
59	0.3283053699
60	0.3273569433
61	0.3264630959
62	0.325560384
63	0.3245888855
64	0.3236471799
65	0.3227684502
66	0.3218354398
67	0.3210301275
68	0.320092405
69	0.3191651113
70	0.3182503281
71	0.3173409397
72	0.3164214015
73	0.315557105
74	0.3146750173
75	0.3137078455
76	0.3128104592
77	0.3120528461
78	0.3111894389
79	0.3103570394
80	0.3094912356
81	0.3086222019
82	0.3077373276
83	0.3068622211
84	0.3060357196
85	0.3052361882
86	0.3045272352
87	0.3036577018
88	0.302828278
89	0.3019961358
90	0.3011622124
91	0.3003233464
92	0.2995053699
93	0.2986803728
94	0.297867885
95	0.2971504181
96	0.2963744228
97	0.2955716326
98	0.2947564571
99	0.2939177405
100	0.293090568
101	0.2923239882
102	0.2915428418
103	0.2907728283
104	0.2899880119
105	0.2891676149
106	0.2884561075
107	0.2878022759
108	0.2870989919
109	0.2864507668
110	0.2856477234
111	0.2849248038
112	0.2842093216
113	0.2834334961
114	0.2827067553
115	0.2819436476
116	0.2812099865
117	0.2804774884
118	0.2797289098
119	0.279039608
120	0.2782703788
121	0.2776239331
122	0.2769474376
123	0.2762483477
124	0.2755106598
125	0.2748669204
126	0.2741794577
127	0.2734987442
128	0.272896393
129	0.2722125833
130	0.2715107129
131	0.2708501771
132	0.2701980137
133	0.269574819
134	0.2689431671
135	0.2682840068
136	0.2675959023
137	0.2669007197
138	0.2662388149
139	0.2655824845
140	0.2649122817
141	0.264230238
142	0.2636266646
143	0.2630014662
144	0.2623986724
145	0.2617566102
146	0.2610953507
147	0.2604364593
148	0.2597986096
149	0.2591535093
150	0.2585458742
151	0.2578998995
152	0.2572986795
153	0.2567087334
154	0.2560905036
155	0.2555051307
156	0.2549124529
157	0.2542566513
158	0.2536072487
159	0.2529884875
160	0.252412181
161	0.2517664623
162	0.2511439196
163	0.2504619001
164	0.2498358017
165	0.2493115722
166	0.2487907884
167	0.2481941505
168	0.2476260812
169	0.2470179715
170	0.2464316849
171	0.2458317501
172	0.245273742
173	0.2447423113
174	0.2442178046
175	0.2436244754
176	0.2430529778
177	0.2425523983
178	0.2419993748
179	0.2414041995
180	0.2409284803
181	0.2403663351
182	0.2398091647
183	0.2392627269
184	0.2387551745
185	0.2382419181
186	0.2377171228
187	0.2371702335
188	0.236614341
189	0.2361135082
190	0.2356541422
191	0.2351123395
192	0.2345991489
193	0.2340439573
194	0.233504894
195	0.2330358278
196	0.2325749186
197	0.2320394837
198	0.2315560227
199	0.2310270698
200	0.2305160754
201	0.2300087217
202	0.2295074103
203	0.229000128
204	0.2285033991
205	0.228043239
206	0.2275576344
207	0.2270653594
208	0.2265419485
209	0.2260643511
210	0.2255885367
211	0.2251455299
212	0.2246952931
213	0.2241967345
214	0.2237718575
215	0.2232867385
216	0.2228106289
217	0.2224186239
218	0.2220252854
219	0.2215572787
220	0.2211357398
221	0.2206950443
222	0.2202102308
223	0.219726292
224	0.2192878407
225	0.2188623829
226	0.2184055786
227	0.2179626318
228	0.2175591568
229	0.2170635269
230	0.2165971256
231	0.2161634266
232	0.2157119384
233	0.2153236578
234	0.2149691405
235	0.214548714
236	0.2141487818
237	0.2137319578
238	0.213353767
239	0.2129538815
240	0.2125291409
241	0.2121338204
242	0.2117330358
243	0.2113222738
244	0.2109296576
245	0.2105323125
246	0.2101084302
247	0.209699242
248	0.2092897159
249	0.2089057774
250	0.2085228721
251	0.208117208
252	0.2077857864
253	0.2073975916
254	0.2070177647
255	0.206631032
256	0.2062761934
257	0.2058962921
258	0.2055146419
259	0.2051411374
260	0.2048060417
261	0.2045002818
262	0.2041605664
263	0.2037789482
264	0.2034349258
265	0.2030967129
266	0.2027099688
267	0.2023054249
268	0.2019169392
269	0.2015279349
270	0.2011818239
271	0.2008207886
272	0.200465297
273	0.2001267375
274	0.1997345476
275	0.1993660178
276	0.1990057135
277	0.1986509617
278	0.1983649472
279	0.1980169908
280	0.1976699606
281	0.1973188035
282	0.1969539786
283	0.1966077602
284	0.1962839057
285	0.1959533308
286	0.1956121071
287	0.1952404062
288	0.1949119406
289	0.1945494529
290	0.1941960303
291	0.1938566134
292	0.1935419841
293	0.1932351083
294	0.1928951168
295	0.1925411038
296	0.1921863479
297	0.1918760463
298	0.1915607891
299	0.191231952
300	0.1909112715
301	0.1906187464
302	0.1903090989
303	0.1900014815
304	0.1897005953
305	0.1893721333
306	0.1891007827
307	0.1888341187
308	0.1885421948
309	0.1882253372
310	0.187915467
311	0.1876012464
312	0.1872771042
313	0.1869494986
314	0.18667268
315	0.1863624295
316	0.1860643704
317	0.1857920098
318	0.1855138778
319	0.1852344184
320	0.1849336524
321	0.1846782026
322	0.1843868786
323	0.1841064524
324	0.1838255771
325	0.1835227456
326	0.1832735977
327	0.1829824509
328	0.1827169418
329	0.1824432977
330	0.1821762455
331	0.1819049746
332	0.1816180328
333	0.1813300636
334	0.1810678547
335	0.1808097908
336	0.1805621494
337	0.180262966
338	0.1800003771
339	0.1797020547
340	0.1794788809
341	0.179228552
342	0.1789762349
343	0.1787053996
344	0.1784467042
345	0.1782063457
346	0.1779361042
347	0.1776687354
348	0.1774196367
349	0.1771658159
350	0.1769540272
351	0.1767378152
352	0.1764770283
353	0.1762472191
354	0.1759931336
355	0.175767938
