iter	Passed	Remaining
0	4	4271
1	8	4125
2	11	3755
3	13	3321
4	14	2957
5	16	2705
6	17	2509
7	19	2380
8	21	2339
9	22	2248
10	24	2176
11	25	2129
12	27	2078
13	28	2034
14	30	1999
15	31	1964
16	34	1974
17	35	1945
18	37	1915
19	38	1891
20	40	1889
21	42	1868
22	43	1852
23	45	1839
24	46	1824
25	48	1815
26	50	1817
27	51	1801
28	53	1783
29	54	1767
30	57	1782
31	59	1787
32	60	1769
33	61	1755
34	63	1741
35	64	1730
36	65	1715
37	67	1710
38	69	1700
39	70	1698
40	72	1694
41	73	1682
42	75	1676
43	76	1672
44	78	1661
45	79	1659
46	82	1673
47	84	1667
48	85	1657
49	86	1652
50	88	1643
51	89	1638
52	91	1640
53	93	1630
54	94	1623
55	96	1627
56	97	1619
57	99	1614
58	100	1609
59	103	1614
60	104	1611
61	106	1608
62	107	1604
63	109	1598
64	110	1593
65	112	1586
66	113	1582
67	115	1580
68	116	1575
69	118	1571
70	119	1568
71	121	1567
72	122	1560
73	124	1562
74	126	1559
75	128	1558
76	129	1551
77	131	1550
78	132	1544
79	133	1539
80	135	1534
81	136	1532
82	138	1531
83	140	1534
84	142	1531
85	144	1533
86	145	1530
87	147	1527
88	148	1524
89	151	1528
90	152	1524
91	154	1526
92	155	1520
93	157	1516
94	158	1511
95	160	1507
96	161	1502
97	162	1498
98	164	1494
99	165	1491
100	168	1498
101	169	1493
102	172	1498
103	173	1497
104	175	1494
105	180	1518
106	181	1515
107	185	1530
108	188	1537
109	189	1536
110	191	1533
111	193	1532
112	195	1533
113	197	1535
114	201	1548
115	202	1545
116	204	1541
117	205	1539
118	207	1537
119	209	1535
120	210	1532
121	212	1528
122	213	1524
123	215	1522
124	217	1519
125	218	1516
126	220	1512
127	221	1510
128	223	1506
129	225	1505
130	226	1505
131	228	1503
132	230	1499
133	231	1496
134	233	1495
135	234	1492
136	236	1488
137	238	1487
138	239	1483
139	241	1481
140	242	1477
141	243	1473
142	245	1469
143	246	1465
144	248	1463
145	249	1461
146	251	1458
147	252	1454
148	254	1450
149	255	1447
150	256	1444
151	258	1441
152	259	1437
153	261	1434
154	263	1434
155	264	1431
156	266	1429
157	267	1426
158	269	1424
159	271	1423
160	272	1422
161	275	1423
162	277	1423
163	280	1429
164	283	1433
165	285	1432
166	286	1430
167	288	1428
168	290	1426
169	291	1423
170	293	1421
171	294	1418
172	296	1418
173	298	1417
174	300	1415
175	302	1417
176	306	1423
177	308	1425
178	312	1434
179	315	1438
180	318	1440
181	321	1445
182	323	1445
183	326	1447
184	328	1449
185	331	1449
186	339	1474
187	340	1470
188	342	1468
189	343	1466
190	347	1473
191	349	1472
192	352	1472
193	354	1471
194	359	1482
195	361	1483
196	364	1483
197	365	1480
198	367	1481
199	372	1489
200	373	1486
201	376	1488
202	379	1489
203	389	1518
204	392	1523
