iter	Passed	Remaining
0	12	12424
1	15	7719
2	18	6022
3	20	5043
4	21	4344
5	24	4111
6	28	3984
7	31	3850
8	32	3594
9	35	3481
10	38	3462
11	40	3348
12	42	3214
13	44	3100
14	46	3050
15	50	3093
16	52	3016
17	55	3025
18	57	2985
19	61	2997
20	64	3020
21	68	3050
22	71	3025
23	74	3034
24	77	3028
25	80	3028
26	82	2964
27	83	2907
28	85	2852
29	86	2805
30	89	2787
31	90	2744
32	92	2716
33	94	2675
34	95	2638
35	97	2615
36	99	2593
37	104	2636
38	105	2599
39	106	2565
40	108	2535
41	109	2504
42	111	2488
43	113	2463
44	115	2444
45	116	2415
46	118	2394
47	119	2376
48	121	2353
49	123	2349
50	125	2337
51	127	2318
52	128	2295
53	129	2274
54	131	2257
55	132	2238
56	135	2236
57	137	2236
58	139	2220
59	140	2204
60	142	2189
61	143	2172
62	144	2156
63	147	2152
64	148	2140
65	151	2137
66	152	2126
67	154	2110
68	155	2100
69	157	2089
70	159	2082
71	160	2074
72	162	2060
73	163	2048
74	166	2048
75	167	2036
76	169	2025
77	171	2022
78	172	2016
79	174	2003
80	175	1993
81	177	1982
82	178	1971
83	179	1959
84	183	1971
85	184	1961
86	186	1954
87	187	1942
88	188	1932
89	192	1944
90	195	1953
91	198	1955
92	199	1945
93	201	1939
94	203	1937
95	207	1952
96	217	2023
97	220	2028
98	222	2022
99	224	2020
100	226	2012
101	227	2004
102	229	2000
103	233	2010
104	236	2018
105	239	2023
106	243	2028
107	246	2035
108	248	2034
109	250	2025
110	251	2017
111	264	2097
112	266	2089
113	267	2081
114	270	2084
115	272	2077
116	274	2072
117	277	2073
118	280	2073
119	281	2065
120	283	2056
121	284	2047
122	285	2039
123	287	2030
124	293	2051
125	295	2046
126	297	2041
127	298	2035
128	301	2034
129	303	2031
130	305	2024
131	306	2015
132	308	2008
133	309	2001
134	311	1996
135	313	1988
136	315	1988
137	317	1985
138	319	1977
139	320	1970
140	322	1962
141	323	1957
142	325	1950
143	327	1948
144	329	1941
145	330	1935
146	332	1927
147	333	1920
148	335	1915
149	336	1908
150	338	1901
151	340	1898
152	341	1892
153	343	1885
154	344	1878
155	346	1871
156	347	1865
157	349	1863
158	352	1861
159	353	1855
160	354	1848
161	356	1844
162	358	1839
163	359	1833
164	361	1830
165	363	1824
166	364	1818
167	366	1814
168	367	1808
169	369	1804
170	374	1815
171	376	1811
172	377	1805
173	379	1799
174	380	1793
175	382	1792
176	384	1787
177	385	1782
178	387	1776
179	389	1772
180	390	1767
181	393	1768
182	396	1769
183	397	1764
184	400	1763
185	401	1758
186	403	1753
187	405	1749
188	407	1748
189	408	1742
190	409	1736
191	412	1733
192	413	1729
193	414	1723
194	416	1719
195	418	1716
196	420	1712
197	422	1709
198	423	1704
199	424	1699
200	426	1694
201	430	1700
202	433	1701
203	436	1702
204	437	1698
205	440	1696
206	441	1692
207	442	1686
208	444	1682
209	445	1677
210	447	1672
211	449	1670
212	451	1667
213	452	1662
214	457	1668
215	458	1663
216	459	1659
217	461	1654
218	463	1652
219	465	1650
220	468	1652
221	470	1648
222	472	1645
223	474	1643
224	477	1644
225	479	1642
226	488	1664
227	490	1661
228	492	1659
229	494	1655
230	496	1651
231	499	1652
232	501	1649
233	503	1646
234	504	1641
235	506	1638
236	507	1634
237	509	1630
238	510	1625
239	511	1620
240	513	1615
241	514	1611
242	515	1606
243	517	1602
244	518	1597
245	520	1594
246	522	1592
247	523	1587
248	524	1583
249	526	1579
250	527	1574
251	529	1571
252	531	1568
253	532	1564
254	533	1559
255	535	1555
256	536	1551
257	537	1546
258	539	1542
259	540	1539
260	542	1536
261	544	1533
262	545	1529
263	547	1527
264	549	1523
265	551	1522
266	553	1519
267	555	1515
268	557	1515
269	560	1516
270	563	1517
271	565	1514
272	567	1512
273	569	1509
274	572	1508
275	573	1504
276	576	1505
277	578	1502
278	579	1498
279	581	1494
280	582	1491
281	584	1487
282	585	1483
283	587	1481
284	589	1477
285	590	1473
286	591	1469
287	593	1466
288	594	1462
289	595	1458
290	597	1454
291	598	1452
292	600	1449
293	602	1446
294	603	1443
295	605	1439
296	606	1435
297	607	1432
298	609	1428
299	611	1426
300	613	1424
301	615	1422
302	617	1420
303	618	1416
304	620	1413
305	622	1411
306	624	1409
307	625	1405
308	627	1402
309	628	1398
310	629	1395
311	631	1391
312	634	1391
313	636	1389
314	637	1386
315	638	1383
316	640	1379
317	641	1376
318	643	1372
319	648	1377
320	649	1374
321	651	1372
